# BoxNumber,N_stars,R_g[pc],Width_1sigma[pc],Error_1sigma,Width_SD[pc],Error_SD,Spur,Arm
21,1425,2411.5286935718555,290.08029339073016,4.88064310463187,548.3772905606664,1.5860114727760926,1,1
22,1398,2428.46855927759,260.27660601408724,5.3267078421623895,444.73295483546735,1.469996761899241,1,1
23,1435,2443.8612674900223,247.8078684922661,5.489325804147139,446.41328359363354,1.565852131988203,1,1
24,1525,2457.764144328298,246.11663027005764,5.510924784221214,395.4159673281145,1.4298931177767575,0,1
25,1639,2470.2361203970563,262.1660098117738,5.312572204791539,396.3561510106317,0.7735630350321605,0,1
26,1783,2481.3376175746234,281.73085799278687,4.814560506329317,499.5286853912948,1.8561702066571812,1,1
27,1990,2491.130447462469,286.8654128458431,4.195124301757171,499.7851416320086,1.2404853543672931,1,1
28,2195,2499.67771867271,278.86435348343275,3.623216351696742,548.676843659633,0.8948793277326832,1,1
29,2302,2507.0437504784645,274.9940926481445,3.509824212296595,548.6266770524712,1.4026031016849536,1,1
30,2191,2513.293990629162,281.2335643985044,3.926435018308893,648.7425979550105,1.9769144719738847,1,1
31,2150,2518.494935354455,287.9634772388455,3.9287672593050322,698.7122288840994,1.780690273755195,1,1
32,1915,2522.714049759028,300.8860090692349,4.089705542226784,749.5918467047294,3.5055550092781003,1,1
33,1607,2526.019686956497,306.7813189116,4.779392430780545,548.8047644580017,1.264005889786595,1,1
34,1315,2528.481004412704,305.377870626624,5.336703129660397,497.0740301306446,4.844700615789735,1,1
35,1288,2530.167876074785,281.6455859684816,5.697974253755358,498.94707702763105,2.972785965350051,1,1
36,1506,2531.150798958936,248.91679139269576,5.445227581287906,448.4272234802512,2.5816404846623686,1,1
37,2027,2531.5007929631715,217.26649391880025,4.976592295974427,448.9231894474052,0.9206723433814855,1,1
38,2431,2531.2892927670878,202.30263823667684,4.346142139720229,498.5651386767882,1.3443587676657296,1,1
39,2646,2530.5880307836255,196.12358302552468,3.9322917643015556,496.4042188377881,0.8337598480807312,1,1
40,2641,2529.4689102430316,191.0254094552088,3.8665080542132957,445.2386008367,0.5683053409930683,1,1
41,2365,2528.0038676206636,200.87944723748802,3.7085491817902825,444.3411989387288,0.13344165732129487,1,1
42,2010,2526.26472377171,211.12990810782534,3.6371921740768967,484.02614857679896,0.9721307256771589,1,1
43,1726,2524.323023310352,215.90073971822912,3.848449849688193,471.65095785055775,0.4847022890452053,1,1
44,1761,2522.249861970579,222.0439222150743,4.173716146440521,473.24317934733017,0.6703658142501279,1,1
45,1897,2520.115701912088,227.2467179609509,4.151982456390333,495.40631540364427,0.9961188841574181,1,1
46,2014,2517.9901751874313,234.84706766610782,4.048503360849621,546.7473869635279,0.9950370128441277,1,1
47,2036,2515.9418758646752,244.46866478188423,4.077632331793586,546.9976059411956,0.8860393581585794,1,1
48,1925,2514.0381416003884,254.03618488979586,4.0944833489382795,546.809690955663,1.0088782367888474,1,1
49,1777,2512.344825776365,267.37910249841946,4.026076450854809,597.7205952315181,1.1192993364794703,1,1
50,1607,2510.92606164382,278.16828243716685,4.215635294356792,594.2562362460155,1.5504365872583712,1,1
